minecraft:black_wool 141519ff
minecraft:mossy_stone_bricks 737969ff
minecraft:dark_oak_planks 422b14ff
minecraft:shroomlight f09246ff
minecraft:granite 956755ff
minecraft:dead_brain_coral_block 7c7572ff
minecraft:gray_concrete 36393dff
minecraft:moss_block 596d2dff
minecraft:gray_terracotta 392a23ff
minecraft:obsidian f0a18ff
minecraft:orange_concrete e06100ff
minecraft:deepslate_lapis_ore 4f5a73ff
minecraft:note_block 583a28ff
minecraft:dead_horn_coral_block 857e7aff
minecraft:cobbled_deepslate 4d4d50ff
minecraft:lime_concrete 5ea818ff
minecraft:rooted_dirt 90674cff
minecraft:emerald_block 2acb57ff
minecraft:purple_concrete 641f9cff
minecraft:sponge c3c04aff
minecraft:light_gray_concrete 7d7d73ff
minecraft:deepslate_coal_ore 4a4a4cff
minecraft:spruce_planks 725430ff
minecraft:blue_terracotta 4a3b5bff
minecraft:deepslate_emerald_ore 4e6857ff
minecraft:packed_ice 8db4faff
minecraft:nether_wart_block 720202ff
minecraft:weathered_cut_copper 6d916bff
minecraft:dripstone_block 866b5cff
minecraft:budding_amethyst 8460baff
minecraft:chiseled_polished_blackstone 353038ff
minecraft:red_concrete 8e2020ff
minecraft:snow_block f9fefeff
minecraft:deepslate_gold_ore 73664eff
minecraft:light_blue_terracotta 716c89ff
minecraft:birch_planks c0af79ff
minecraft:smooth_quartz ece6dfff
minecraft:amethyst_block 8561bfff
minecraft:quartz_bricks eae5ddff
minecraft:yellow_wool f8c527ff
